Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2023-02-07 13:30:00,False,62.97B, ,63.75B,
2023-01-05 13:30:00,False,64.37B, ,65.89B,
2022-12-06 13:30:00,False,67.04B, ,66.04B,
2022-11-03 12:30:00,False,66.37B, ,65.49B,
2022-10-05 12:30:00,False,65.38B, ,67.35B,
2022-09-07 12:30:00,False,68.25B, ,70.23B,
2022-08-04 12:30:00,False,69.90B, ,68.56B,
2022-07-07 12:30:00,False,68.44B, ,65.71B,
2022-06-07 12:30:00,False,64.31B,61.76B,63.95B,2.55
2022-05-04 12:30:00,False,63.63B,61.76B,59.84B,1.87
2022-04-05 12:30:00,False,58.75B,58.05B,57.12B,0.7
2022-03-08 13:30:00,False,56.62B, ,56.72B,
2022-02-08 13:30:00,False,57.61B, ,58.15B,
2022-01-06 13:30:00,False,58.57B, ,56.42B,
2021-12-07 13:30:00,False,56.18B, ,52.80B,
2021-11-04 12:30:00,False,53.00B, ,54.26B,
2021-10-05 12:30:00,False,54.44B, ,54.01B,
2021-09-02 12:30:00,False,53.75B, ,53.41B,
2021-08-05 12:30:00,False,53.76B, ,49.44B,
2021-07-02 12:30:00,False,49.53B, ,50.33B,
2021-06-08 12:30:00,False,50.21B, ,50.70B,
2021-05-04 12:30:00,False,50.62B, ,50.49B,
2021-04-07 12:30:00,False,49.86B, ,51.22B,
2021-03-05 13:30:00,False,51.19B, ,47.37B,
2021-02-05 13:30:00,False,47.32B, ,46.60B,
2021-01-07 13:30:00,False,46.76B, ,46.54B,
2020-12-04 13:30:00,False,46.47B,45.25B,45.48B,1.22
2020-11-04 13:30:00,False,45.54B,45.25B,44.86B,0.29
2020-10-06 12:30:00,False,44.93B, ,45.40B,
2020-09-03 12:30:00,False,45.43B,38.80B,40.90B,6.63
2020-08-05 12:30:00,False,39.71B,38.80B,33.90B,0.91
2020-07-02 12:30:00,False,34.61B,33.60B,32.45B,1.01
2020-06-04 12:30:00,False,32.66B,42.07B,46.43B,-9.41
2020-05-05 12:30:00,False,46.26B,45.00B,48.52B,1.26
2020-04-02 12:30:00,False,48.34B,47.70B,48.09B,0.64
2020-03-06 13:30:00,False,48.14B,50.10B,49.12B,-1.96
2020-02-05 13:30:00,False,49.32B,50.10B,48.38B,-0.78
2020-01-07 13:30:00,False,48.70B,49.30B,49.40B,-0.6
2019-12-05 13:30:00,False,49.91B,49.30B,49.53B,0.61
2019-11-05 13:30:00,False,49.78B,50.35B,50.41B,-0.57
2019-10-04 12:30:00,False,50.58B, ,49.66B,
2019-09-04 12:30:00,False,49.76B, ,50.22B,
2019-08-02 12:30:00,False,50.31B,51.50B,53.00B,-1.19
2019-07-03 12:30:00,False,53.11B,50.40B,50.75B,2.71
2019-06-06 12:30:00,False,50.70B, ,50.05B,
2019-05-09 12:30:00,False,49.05B,48.00B,47.54B,1.05
2019-04-17 12:30:00,False,47.97B,48.00B,48.62B,-0.03
2019-03-27 12:30:00,False,47.58B, ,46.23B,
2019-03-06 13:30:00,False,46.31B, ,48.12B,
2019-01-08 13:30:00,False,48.33B,50.47B,49.77B,-2.14
2018-12-06 13:30:00,False,49.32B,50.47B,49.91B,-1.15
2018-11-02 13:30:00,False,50.38B, ,50.45B,
2018-10-05 12:30:00,False,50.55B, ,51.11B,
2018-09-05 12:30:00,False,51.27B, ,50.86B,
2018-08-03 12:30:00,False,50.70B, ,48.71B,
2018-07-06 12:30:00,False,48.34B, ,48.40B,
2018-06-06 12:30:00,False,48.56B, ,47.82B,
2018-05-03 12:30:00,False,47.58B, ,45.87B,
2018-04-05 12:30:00,False,45.94B, ,45.78B,
2018-03-07 13:30:00,False,45.84B, ,46.82B,
2018-02-06 13:30:00,False,46.51B, ,46.25B,
2018-01-05 13:30:00,False,46.21B, ,44.54B,
2017-12-05 13:30:00,False,44.46B, ,43.30B,
2017-11-03 12:30:00,False,43.56B, ,43.69B,
2017-10-05 12:30:00,False,43.63B, ,44.05B,
2017-09-06 12:30:00,False,44.14B, ,46.43B,
2017-08-04 12:30:00,False,46.51B, ,48.62B,
2017-07-06 12:30:00,False,48.69B, ,48.05B,
2017-06-02 12:30:00,False,47.69B, ,46.83B,
2017-05-04 12:30:00,False,46.98B, ,45.25B,
2017-04-04 12:30:00,False,45.34B, ,46.46B,
2017-03-07 13:30:00,False,46.45B, ,46.21B,
2017-02-07 13:30:00,False,46.44B, ,46.07B,
2017-01-06 13:30:00,False,45.61B, ,43.74B,
