Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2023-01-27 13:30:00,False,0.1%,0.2%,0.1%,-0.1
2022-12-23 13:30:00,False,0.1%, ,0.4%,
2022-12-01 13:30:00,False,0.3%,0.5%,0.3%,-0.2
2022-10-28 12:30:00,False,0.3%, ,0.3%,
2022-09-30 12:30:00,False,0.3%, ,-0.1%,
2022-08-26 12:30:00,False,-0.1%, ,1.0%,
2022-07-29 12:30:00,False,1.0%,0.9%,0.6%,0.1
2022-06-30 12:30:00,False,0.6%, ,0.2%,
2022-05-27 12:30:00,False,0.2%, ,0.9%,
2022-04-29 12:30:00,False,0.9%, ,0.5%,
2022-03-31 12:30:00,False,0.6%, ,0.5%,
2022-02-25 13:30:00,False,0.6%, ,0.5%,
2022-01-28 13:30:00,False,0.4%, ,0.6%,
2021-12-23 13:30:00,False,0.6%, ,0.7%,
2021-11-24 15:00:00,False,0.6%, ,0.4%,
2021-10-29 12:30:00,False,0.3%, ,0.3%,
2021-10-01 12:30:00,False,0.4%, ,0.4%,
2021-08-27 12:30:00,False,0.4%, ,0.5%,
2021-07-30 12:30:00,False,0.5%, ,0.5%,
2021-06-25 12:30:00,False,0.4%, ,0.6%,
2021-05-28 12:30:00,False,0.6%, ,0.6%,
2021-04-30 12:30:00,False,0.5%, ,0.2%,
2021-03-26 13:30:00,False,0.2%, ,0.3%,
2021-02-26 13:30:00,False,0.3%, ,0.4%,
2021-01-29 13:30:00,False,0.4%, , ,
2020-12-23 13:30:00,False,0.0%, ,0.2%,
2020-11-25 15:00:00,False,0.0%, ,0.2%,
2020-10-30 12:30:00,False,0.2%, ,0.3%,
2020-10-01 12:30:00,False,0.3%, ,0.4%,
2020-08-28 12:30:00,False,0.3%, ,0.5%,
2020-07-31 12:30:00,False,0.4%, ,0.1%,
2020-06-26 12:30:00,False,0.1%, ,-0.5%,
2020-05-29 12:30:00,False,-0.5%, ,-0.2%,
2020-04-30 12:30:00,False,-0.3%, ,0.1%,
2020-03-27 12:30:00,False,0.1%, ,0.1%,
2020-02-28 13:30:00,False,0.1%, ,0.3%,
2020-01-31 13:30:00,False,0.3%, ,0.1%,
2019-12-20 15:00:00,False,0.2%, ,0.2%,
2019-11-27 15:00:00,False,0.2%,0.1%,0.0%,0.1
2019-10-31 12:30:00,False,0.0%, ,0.2%,
2019-09-27 12:30:00,False,0.0%, ,0.2%,
2019-08-30 12:30:00,False,0.2%, ,0.1%,
